2017-08-03 16:03:00.488 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 5472 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-08-03 16:03:00.490 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
2017-08-03 16:03:25.572 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 57] - Started SpringBootSkeletonApplication in 26.144 seconds (JVM running for 28.141)
2017-08-03 16:03:39.007 INFO  [http-nio-8080-exec-1] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 36] - 经过JWTAuthenticationTokenFilter
2017-08-03 16:03:39.018 INFO  [http-nio-8080-exec-1] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 42] - Token无效
2017-08-03 16:03:39.027 INFO  [http-nio-8080-exec-1] c.s.s.s.e.JWTAuthenticationEntryPoint [JWTAuthenticationEntryPoint.java : 29] - 到达JWTAuthenticationEntryPoint
2017-08-03 16:03:57.270 INFO  [http-nio-8080-exec-3] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 36] - 经过JWTAuthenticationTokenFilter
2017-08-03 16:03:57.271 INFO  [http-nio-8080-exec-3] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 42] - Token无效
2017-08-03 16:03:57.274 INFO  [http-nio-8080-exec-3] c.s.s.s.e.JWTAuthenticationEntryPoint [JWTAuthenticationEntryPoint.java : 29] - 到达JWTAuthenticationEntryPoint
2017-08-03 16:05:06.916 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 5472 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-08-03 16:05:06.916 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
2017-08-03 16:06:06.872 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 57] - Started SpringBootSkeletonApplication in 60.105 seconds (JVM running for 189.44)
2017-08-03 16:07:06.744 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 5472 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-08-03 16:07:06.745 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
2017-08-03 16:07:15.551 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 48] - Starting SpringBootSkeletonApplication on LAPTOP-0E5JL9PN with PID 11368 (D:\idea\SpringBootSkeleton\skeleton\target\classes started by songx in D:\idea\SpringBootSkeleton)
2017-08-03 16:07:15.553 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [SpringApplication.java : 597] - The following profiles are active: dev
2017-08-03 16:07:39.341 INFO  [restartedMain] c.s.s.SpringBootSkeletonApplication [StartupInfoLogger.java : 57] - Started SpringBootSkeletonApplication in 24.418 seconds (JVM running for 25.454)
2017-08-03 16:07:59.678 INFO  [http-nio-8080-exec-1] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 36] - 经过JWTAuthenticationTokenFilter
2017-08-03 16:07:59.684 INFO  [http-nio-8080-exec-1] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 42] - Token无效
2017-08-03 16:07:59.694 INFO  [http-nio-8080-exec-1] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 36] - 经过JWTAuthenticationTokenFilter
2017-08-03 16:07:59.694 INFO  [http-nio-8080-exec-1] c.s.s.s.f.JWTAuthenticationTokenFilter [JWTAuthenticationTokenFilter.java : 42] - Token无效
